NN,XX,YY
FUNDO LA VICTORIA,-75.2333,-12.0167
HACIENDA MEJORADA,-75.2167,-12.0333
HACIENDA PORVENIR,-75.2333,-12.0333
SANTA ANA,-75.2208,-12.0042
SHULLCAS,-75.1667,-12
CONCEPCION,-75.3167,-11.9167
CONCEPCION,-75.3167,-11.9167
SAN JUAN DE MATAH,-75.3333,-11.9
SAN LUIS DE ALAPA,-75.3,-11.9333
ESEP PALIAN,-75.1833,-12.0333
SAN PEDRO DE SAPO,-75.25,-11.95
ORCOTUNA,-75.2983,-11.9655
HUYAO HUANCAYO,-75.3167,-12
ORCOTUNA,-75.3,-11.9667
